channel,account_id,type_value,value,total,account_display_name
youtube,UCxokPwBs3cvfyNA_BaKBpbw,fan,1750000.0,1792607.3703703703,ครัวพิศพิไล
youtube,UCxokPwBs3cvfyNA_BaKBpbw,average_engagement_per_post,42607.37037037037,1792607.3703703703,ครัวพิศพิไล
youtube,UCeI9i06e7dOYKYCeoSJOh9A,fan,1500000.0,1788544.4086956521,Sean Buranahiran - ฌอน บูรณะหิรัญ
youtube,UCeI9i06e7dOYKYCeoSJOh9A,average_engagement_per_post,288544.40869565215,1788544.4086956521,Sean Buranahiran - ฌอน บูรณะหิรัญ
youtube,UC4ffck2VmDdcinC4MaZw-gg,fan,1510000.0,1770474.4226190476,กินได้อร่อยด้วย
youtube,UC4ffck2VmDdcinC4MaZw-gg,average_engagement_per_post,260474.42261904763,1770474.4226190476,กินได้อร่อยด้วย
youtube,UCT2G8BGZgubYAOYrFO9NSAg,fan,620000.0,1761691.862745098,GoyNattyDream Channel
youtube,UCT2G8BGZgubYAOYrFO9NSAg,average_engagement_per_post,1141691.862745098,1761691.862745098,GoyNattyDream Channel
youtube,UCiVK9AJnnZdftWbJ_ThRlww,fan,1510000.0,1747890.6851851852,จดอ - JUSTดูIT.
youtube,UCiVK9AJnnZdftWbJ_ThRlww,average_engagement_per_post,237890.6851851852,1747890.6851851852,จดอ - JUSTดูIT.
youtube,UCtTJtdLncd1gDvNdaw2mzJw,fan,974000.0,1738900.0,Daimod channnel
youtube,UCtTJtdLncd1gDvNdaw2mzJw,average_engagement_per_post,764900.0,1738900.0,Daimod channnel
youtube,UCXlXEBmye29QiMBDj8lW2GA,fan,1470000.0,1731092.4704225352,TONKLA
youtube,UCXlXEBmye29QiMBDj8lW2GA,average_engagement_per_post,261092.4704225352,1731092.4704225352,TONKLA
youtube,UCLlnWjLoSBlfTWwwXC4bfyg,fan,1330000.0,1716412.361904762,RisibleHD
youtube,UCLlnWjLoSBlfTWwwXC4bfyg,average_engagement_per_post,386412.3619047619,1716412.361904762,RisibleHD
youtube,UCrfbAJbuJh_ys0FN1whjwtA,fan,1560000.0,1690981.0502793295,Nobi
youtube,UCrfbAJbuJh_ys0FN1whjwtA,average_engagement_per_post,130981.0502793296,1690981.0502793295,Nobi
youtube,UCFJ8ue7tRlVCK6X4gcmSdJg,fan,1390000.0,1667381.0,Kayavine
youtube,UCFJ8ue7tRlVCK6X4gcmSdJg,average_engagement_per_post,277381.0,1667381.0,Kayavine
youtube,UC_A1MM5CBxeBXd9T5ir6SRA,fan,1560000.0,1663238.149825784,Feeling Rock
youtube,UC_A1MM5CBxeBXd9T5ir6SRA,average_engagement_per_post,103238.14982578397,1663238.149825784,Feeling Rock
youtube,UCrN6TgeihTQvmITMoHrlaqg,fan,1560000.0,1621194.9724137932,Mai Ch
youtube,UCrN6TgeihTQvmITMoHrlaqg,average_engagement_per_post,61194.972413793104,1621194.9724137932,Mai Ch
youtube,UClr_YfEd1-V79bTrZe7cqrw,fan,1190000.0,1609334.8842975206,BoomTharis
youtube,UClr_YfEd1-V79bTrZe7cqrw,average_engagement_per_post,419334.8842975207,1609334.8842975206,BoomTharis
youtube,UCrDguwtG_SFWoR13O5VgbJg,fan,1170000.0,1574428.1230769232,โอ หงิด
youtube,UCrDguwtG_SFWoR13O5VgbJg,average_engagement_per_post,404428.1230769231,1574428.1230769232,โอ หงิด
youtube,UCuRp1BZ2VCDsbsep9yuaRVw,fan,1030000.0,1559107.606060606,เฉลิมศรี
youtube,UCuRp1BZ2VCDsbsep9yuaRVw,average_engagement_per_post,529107.6060606061,1559107.606060606,เฉลิมศรี
youtube,UCHXHH-zN7H9obDB_Lme_3jQ,fan,1430000.0,1555595.6860465116,2MadamesTV
youtube,UCHXHH-zN7H9obDB_Lme_3jQ,average_engagement_per_post,125595.68604651163,1555595.6860465116,2MadamesTV
youtube,UCu5hJwMU5m14KKSH2AVfLcw,fan,1450000.0,1523326.46,Dek Jew Small World
youtube,UCu5hJwMU5m14KKSH2AVfLcw,average_engagement_per_post,73326.46,1523326.46,Dek Jew Small World
youtube,UC8jdCrP9rTBdbqEatt0Qq2Q,fan,1130000.0,1522316.4131736527,Buffet Channel
youtube,UC8jdCrP9rTBdbqEatt0Qq2Q,average_engagement_per_post,392316.4131736527,1522316.4131736527,Buffet Channel
youtube,UCSSIP-OxRpfZSCFufta3rbg,fan,1290000.0,1473868.7417582418,Amy Kitiya
youtube,UCSSIP-OxRpfZSCFufta3rbg,average_engagement_per_post,183868.74175824175,1473868.7417582418,Amy Kitiya
youtube,UCrTCBfAmgLLb0P0BY69HUYQ,fan,1260000.0,1472575.6666666667,PEACHII
youtube,UCrTCBfAmgLLb0P0BY69HUYQ,average_engagement_per_post,212575.66666666666,1472575.6666666667,PEACHII
youtube,UCfpTHxH2y134iEtkwXmHJ6Q,fan,1320000.0,1460512.819148936,Ya Taliban
youtube,UCfpTHxH2y134iEtkwXmHJ6Q,average_engagement_per_post,140512.81914893616,1460512.819148936,Ya Taliban
youtube,UC-j9xrFRhyvHAmdsITyYj2A,fan,1370000.0,1451775.6032608696,TAMMER
youtube,UC-j9xrFRhyvHAmdsITyYj2A,average_engagement_per_post,81775.60326086957,1451775.6032608696,TAMMER
youtube,UCKz15eIpSAvQmy-ZttXPyog,fan,1360000.0,1451142.6902654867,Malinda Herman Official
youtube,UCKz15eIpSAvQmy-ZttXPyog,average_engagement_per_post,91142.69026548673,1451142.6902654867,Malinda Herman Official
youtube,UCk-ge9Qgp0cf9-nh5ue-QkA,fan,1340000.0,1431836.5909090908,nutties11311
youtube,UCk-ge9Qgp0cf9-nh5ue-QkA,average_engagement_per_post,91836.59090909091,1431836.5909090908,nutties11311
youtube,UCph0ugfQXDjaBcr1qEWkm2A,fan,1140000.0,1430292.7037037038,GAME OVER
youtube,UCph0ugfQXDjaBcr1qEWkm2A,average_engagement_per_post,290292.7037037037,1430292.7037037038,GAME OVER
youtube,UClshsyv7mLwBxLLfSSwLAFQ,fan,1310000.0,1422718.75,Archita Station
youtube,UClshsyv7mLwBxLLfSSwLAFQ,average_engagement_per_post,112718.75,1422718.75,Archita Station
youtube,UC8fWyZQfxhakER1VrBnMlEQ,fan,1270000.0,1421350.3501683502,Slapper
youtube,UC8fWyZQfxhakER1VrBnMlEQ,average_engagement_per_post,151350.35016835018,1421350.3501683502,Slapper
youtube,UC5mJrJ6tg1WiGGWzoKK7ewQ,fan,1200000.0,1415164.1224489796,SpokeDark TV
youtube,UC5mJrJ6tg1WiGGWzoKK7ewQ,average_engagement_per_post,215164.1224489796,1415164.1224489796,SpokeDark TV
