account_id,type,value,account_display_name,category,fan_range
115825035169681,total_engagement,10388123,Nune noppaluck,Blogger/Influencer,1M-9M
115825035169681,reaction,9456135,Nune noppaluck,Blogger/Influencer,1M-9M
115825035169681,share,392959,Nune noppaluck,Blogger/Influencer,1M-9M
115825035169681,comment,437008,Nune noppaluck,Blogger/Influencer,1M-9M
115825035169681,tag_friend,91811,Nune noppaluck,Blogger/Influencer,1M-9M
115825035169681,purchase_intention,10210,Nune noppaluck,Blogger/Influencer,1M-9M
1179571812101361,total_engagement,1730917,ลาพักเที่ยว,Travel,1M-9M
1179571812101361,reaction,1118534,ลาพักเที่ยว,Travel,1M-9M
1179571812101361,share,394222,ลาพักเที่ยว,Travel,1M-9M
1179571812101361,comment,120508,ลาพักเที่ยว,Travel,1M-9M
1179571812101361,tag_friend,86617,ลาพักเที่ยว,Travel,1M-9M
1179571812101361,purchase_intention,11036,ลาพักเที่ยว,Travel,1M-9M
1192557244094483,total_engagement,483594,โดดงานไป,Travel,300K-500K
1192557244094483,reaction,251370,โดดงานไป,Travel,300K-500K
1192557244094483,share,122263,โดดงานไป,Travel,300K-500K
1192557244094483,comment,58239,โดดงานไป,Travel,300K-500K
1192557244094483,tag_friend,47513,โดดงานไป,Travel,300K-500K
1192557244094483,purchase_intention,4209,โดดงานไป,Travel,300K-500K
119275421551380,total_engagement,2368469,บ่นบ่น,Writer and Quote,1M-9M
119275421551380,reaction,2065781,บ่นบ่น,Writer and Quote,1M-9M
119275421551380,share,257033,บ่นบ่น,Writer and Quote,1M-9M
119275421551380,comment,30827,บ่นบ่น,Writer and Quote,1M-9M
119275421551380,tag_friend,14593,บ่นบ่น,Writer and Quote,1M-9M
119275421551380,purchase_intention,235,บ่นบ่น,Writer and Quote,1M-9M
119437984866497,total_engagement,171177,คลังประวัติศาสตร์ไทย,Education,500K-1M
119437984866497,reaction,154126,คลังประวัติศาสตร์ไทย,Education,500K-1M
119437984866497,share,13771,คลังประวัติศาสตร์ไทย,Education,500K-1M
119437984866497,comment,2507,คลังประวัติศาสตร์ไทย,Education,500K-1M
119437984866497,tag_friend,754,คลังประวัติศาสตร์ไทย,Education,500K-1M
119437984866497,purchase_intention,19,คลังประวัติศาสตร์ไทย,Education,500K-1M
1194579164005256,total_engagement,252801,แซ่บ,Food and Drink,500K-1M
1194579164005256,reaction,181633,แซ่บ,Food and Drink,500K-1M
1194579164005256,share,62039,แซ่บ,Food and Drink,500K-1M
1194579164005256,comment,5390,แซ่บ,Food and Drink,500K-1M
1194579164005256,tag_friend,3137,แซ่บ,Food and Drink,500K-1M
1194579164005256,purchase_intention,602,แซ่บ,Food and Drink,500K-1M
119832502018737,total_engagement,1744379,เห็นหมีรีวิว,Sales and review,300K-500K
119832502018737,reaction,699625,เห็นหมีรีวิว,Sales and review,300K-500K
119832502018737,share,816216,เห็นหมีรีวิว,Sales and review,300K-500K
119832502018737,comment,145346,เห็นหมีรีวิว,Sales and review,300K-500K
119832502018737,tag_friend,81779,เห็นหมีรีวิว,Sales and review,300K-500K
119832502018737,purchase_intention,1413,เห็นหมีรีวิว,Sales and review,300K-500K
1209041419174610,total_engagement,372156,Spice Beauty,Writer and Quote,300K-500K
1209041419174610,reaction,274800,Spice Beauty,Writer and Quote,300K-500K
1209041419174610,share,94840,Spice Beauty,Writer and Quote,300K-500K
1209041419174610,comment,1394,Spice Beauty,Writer and Quote,300K-500K
1209041419174610,tag_friend,1085,Spice Beauty,Writer and Quote,300K-500K
1209041419174610,purchase_intention,37,Spice Beauty,Writer and Quote,300K-500K
121288987898365,total_engagement,3302350,Buffalo Gags,Entertainment,1M-9M
121288987898365,reaction,2801569,Buffalo Gags,Entertainment,1M-9M
121288987898365,share,324341,Buffalo Gags,Entertainment,1M-9M
121288987898365,comment,113899,Buffalo Gags,Entertainment,1M-9M
121288987898365,tag_friend,61634,Buffalo Gags,Entertainment,1M-9M
121288987898365,purchase_intention,907,Buffalo Gags,Entertainment,1M-9M
121778711349337,total_engagement,4970972,Group B,Writer and Quote,1M-9M
121778711349337,reaction,3853433,Group B,Writer and Quote,1M-9M
121778711349337,share,801969,Group B,Writer and Quote,1M-9M
121778711349337,comment,193188,Group B,Writer and Quote,1M-9M
121778711349337,tag_friend,120733,Group B,Writer and Quote,1M-9M
121778711349337,purchase_intention,1649,Group B,Writer and Quote,1M-9M
122069651274589,total_engagement,6788795,สมาคมรถแต่ง,Automobile,1M-9M
122069651274589,reaction,6281515,สมาคมรถแต่ง,Automobile,1M-9M
122069651274589,share,396146,สมาคมรถแต่ง,Automobile,1M-9M
122069651274589,comment,81717,สมาคมรถแต่ง,Automobile,1M-9M
122069651274589,tag_friend,27786,สมาคมรถแต่ง,Automobile,1M-9M
122069651274589,purchase_intention,1631,สมาคมรถแต่ง,Automobile,1M-9M
1225060557634025,total_engagement,3144855,เฉโปแมวโง่,Pet,500K-1M
1225060557634025,reaction,2916145,เฉโปแมวโง่,Pet,500K-1M
1225060557634025,share,138070,เฉโปแมวโง่,Pet,500K-1M
1225060557634025,comment,71553,เฉโปแมวโง่,Pet,500K-1M
1225060557634025,tag_friend,18763,เฉโปแมวโง่,Pet,500K-1M
1225060557634025,purchase_intention,324,เฉโปแมวโง่,Pet,500K-1M
