,mapped_name,channel
8940,Chef Gai Thanunya,instagram
8952,Chef Gai Thanunya,twitter
8964,Chef Gai Thanunya,youtube
8976,Chef Nan - เชฟน่าน,facebook
8988,Chef Nan - เชฟน่าน,instagram
9000,Chef Nan - เชฟน่าน,twitter
9012,Chef Nan - เชฟน่าน,youtube
9024,Chef Pam,facebook
9036,Chef Pam,instagram
9048,Chef Pam,twitter
9060,Chef Pam,youtube
9072,Cheftablebychefart,facebook
9084,Cheftablebychefart,instagram
9096,Cheftablebychefart,twitter
9108,Cheftablebychefart,youtube
9120,Cherry E Bright,facebook
9132,Cherry E Bright,instagram
9144,Cherry E Bright,twitter
9156,Cherry E Bright,youtube
9168,Chickypie,facebook
9180,Chickypie,instagram
9192,Chickypie,twitter
9204,Chickypie,youtube
9216,Chill Journey :: เที่ยวอย่างชิว,facebook
9228,Chill Journey :: เที่ยวอย่างชิว,instagram
9240,Chill Journey :: เที่ยวอย่างชิว,twitter
9252,Chill Journey :: เที่ยวอย่างชิว,youtube
9264,Chill With Me,facebook
9276,Chill With Me,instagram
9288,Chill With Me,twitter
9300,Chill With Me,youtube
9312,ChinNaMo,facebook
9324,ChinNaMo,instagram
9336,ChinNaMo,twitter
9348,ChinNaMo,youtube
9360,Chobrod,facebook
9372,Chobrod,instagram
9384,Chobrod,twitter
9396,Chobrod,youtube
9408,Chongko Channel,facebook
9420,Chongko Channel,instagram
9432,Chongko Channel,twitter
9444,Chongko Channel,youtube
9456,Chopluem,facebook
9468,Chopluem,instagram
9480,Chopluem,twitter
9492,Chopluem,youtube
9504,Chujai Family,facebook
9516,Chujai Family,instagram
9528,Chujai Family,twitter
9540,Chujai Family,youtube
9552,CigaretteS,facebook
9564,CigaretteS,instagram
9576,CigaretteS,twitter
9588,CigaretteS,youtube
9600,Civil Trader,facebook
9612,Civil Trader,instagram
9624,Civil Trader,twitter
9636,Civil Trader,youtube
9648,Club VI,facebook
9660,Club VI,instagram
9672,Club VI,twitter
9684,Club VI,youtube
9696,Coach Sila,facebook
9708,Coach Sila,instagram
9720,Coach Sila,twitter
9732,Coach Sila,youtube
9744,CokeyP,facebook
9756,CokeyP,instagram
9768,CokeyP,twitter
9780,CokeyP,youtube
9792,Colored pencils with FAI,facebook
9804,Colored pencils with FAI,instagram
9816,Colored pencils with FAI,twitter
9828,Colored pencils with FAI,youtube
9840,Cony Cry,facebook
9852,Cony Cry,instagram
9864,Cony Cry,twitter
9876,Cony Cry,youtube
9888,Cook With Kui,facebook
9900,Cook With Kui,instagram
9912,Cook With Kui,twitter
9924,Cook With Kui,youtube
9936,Cookat Thai,facebook
9948,Cookat Thai,instagram
9960,Cookat Thai,twitter
9972,Cookat Thai,youtube
9984,Cookie and the gang,facebook
9996,Cookie and the gang,instagram
10008,Cookie and the gang,twitter
10020,Cookie and the gang,youtube
10032,Cooking station,facebook
10044,Cooking station,instagram
10056,Cooking station,twitter
