,account_display_name,view,count,avg_view,created_at,fan,type_fan
564,PJY` Gamer,63686330,217,293485,2020-12-29 20:13:57,2600000,Gold
565,PMay,25572,2,12786,2020-02-18 18:41:51,1490000,Gold
568,POSADE,2064873,19,108677,2020-12-22 16:00:10,176000,Silver
571,PRIMKUNG,249101964,281,886483,2020-12-31 14:52:25,2800000,Gold
582,Patiiz PTZ,2515022,23,109348,2020-12-29 18:56:04,214000,Silver
587,Pigkaploy,7133741,45,158527,2020-12-30 19:00:15,282000,Silver
589,Pint0Gaming,6156774,24,256532,2020-05-30 18:00:14,259000,Silver
591,Pit Start,10610273,102,104022,2020-12-31 17:03:01,987000,Silver
592,Piyapeauty Makeup,5528006,61,90623,2020-12-27 19:00:05,374000,Silver
595,PlearnGaming,772050,364,2121,2020-12-31 22:25:58,187000,Silver
598,Point of View,16189481,145,111651,2020-12-30 17:00:11,1100000,Gold
599,PojzPlaza,275875645,201,1372515,2020-12-31 18:46:35,6820000,Gold
613,RAP'TUM GAMERChannel,6398615,147,43527,2020-12-30 19:30:54,549000,Silver
614,RK Thai Kitchen & Beyond,10333,11,939,2020-12-22 07:14:28,132000,Silver
621,Riety,9846037,63,156286,2020-12-27 20:45:24,367000,Silver
622,RisibleHD,38809577,105,369615,2020-12-31 12:30:00,1330000,Gold
624,Rod on Tube,4828126,101,47803,2020-12-18 21:36:41,165000,Silver
625,Roger Films,232016,22,10546,2020-11-29 00:44:15,134000,Silver
629,Rush,5364806,169,31744,2020-12-29 14:25:19,172000,Silver
633,SAN CE,71460626,186,384196,2020-12-31 16:56:44,544000,Silver
634,SANDEE CH,107654810,252,427201,2020-12-31 18:06:54,1370000,Gold
635,SATANG BANK,2504669,50,50093,2020-12-30 17:15:03,582000,Silver
638,SFTV,69504,32,2172,2020-08-04 22:16:56,733000,Silver
639,SPOOKY TV,59471413,56,1061989,2020-12-27 14:52:49,831000,Silver
640,SPSaypan,708744,20,35437,2020-11-09 19:24:55,135000,Silver
641,SUNFESOVERLOAD,69238424,283,244658,2020-12-30 17:15:43,1690000,Gold
643,SVIT_TV,1077744,63,17107,2020-10-06 15:36:36,162000,Silver
644,Saira Mirror,3486289,30,116209,2020-12-28 18:41:20,426000,Silver
645,Salaider Esport,4777191,12,398099,2020-12-27 12:35:49,292000,Silver
648,Sauce Channel,10939349,60,182322,2020-12-25 16:00:24,109000,Silver
